listing_id,id_customer,last_action_time,last_action,action_detail
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:33:38.531000,delete draft,
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:33:34.756000,tap back button,
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:33:28.610000,start information,
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:33:28.560000,select step,informations
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:33:23.355000,upload photo,photo_1
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:32:18.721000,dismiss photo dialog,foto principale (foto di profilo)
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:32:18.671000,select library,foto principale (foto di profilo)
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:32:13.551000,add photo,foto principale (foto di profilo)
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:32:12.311000,start photos,
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:32:12.269000,select step,photos
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:32:11.213000,confirm information,
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:32:11.167000,tap cta,confirm this step
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:32:02.204000,select field,taglia
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:57.016000,select field,fantasia
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:53.993000,select field,colore
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:47.133000,select field,materiale
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:33.453000,select field,modello
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:24.772000,select field,sotto-categoria
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:21.876000,create draft,sandali per donne
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:19.547000,select brand from results,celine
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:19.491000,type in search field,celine
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:16.141000,tap search field,
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:14.492000,select category,sandali
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:03.180000,expand menu,scarpe
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:01.691000,select universe,moda donna
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:00.502000,start deposit,
18709850,9326111af5dc060acdf0bc14216d19f04784206591e3ef4cc123641ed6e52991,2021-08-31 23:31:00.427000,tap add deposit,
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:48.584000,delete draft,
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:46.167000,tap back button,
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:44.343000,start information,
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:44.297000,select step,informations
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:42.165000,confirm condition & price,
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:41.695000,tap cta,confirm
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:35.294000,start condition & price,
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:35.252000,tap cta,next
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:34.832000,select condition,sehr guter zustand
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:33.406000,select step,condition_price
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:32.633000,create draft,pullover für frauen
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:30.199000,select brand from results,rêve
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:30.164000,type in search field,rêve
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:24.214000,tap search field,
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:23.242000,select category,pullover
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:22.223000,expand menu,kleidungsstücke
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:21.525000,select universe,damenmode
18709924,5a86d723a810d6fad64f17752446e527ce137bbff44b11a9db9cda12f21178fe,2021-08-31 23:56:20.255000,start deposit,
