ID_BRAND,BRAND
1357,MISS JUNE
1359,MITICA
1360,MIZIA PARIS
1361,MOD ECRAN
1362,MOD8
1364,MONA LISA
1365,MONOPRIX
1366,MONSIEUR DE FURSAC
1367,MONTAGUT
1368,MOOVE
1369,Moscot
1370,MOTIVI
1371,MOULINETTE SOEURS
1372,MURATTI
1373,MUSTANG
1374,MUZINA
1375,MY LOVELY JEAN
1376,MY WAY
1377,MYMA
1378,NAF NAF
1379,NAME IT
1380,NANA BAILA
1381,NANA MOUR
1382,NANNI
1383,NANNINI
1384,NATHALIE GARÇON
1385,NATHALYS
1386,NATURINO
1387,NELA BAGS
1388,NEOLOGIE
1389,NEOSENS
1390,NERO GIARDINI
1391,NEW LANDER
1392,NEW LONDON
1393,NEW MAN
1394,NEW ROCK
1395,NEWCASTLE
1396,NICKY VANKETS
1397,NICOLE BAKTI
1398,NIKITA
1399,No Name
1400,NO TRASH
1401,NOA JOE
1403,NOLITA
1404,NORMA JEAN BAKER
1405,NOT MET PARIS
1406,NOUCHKA
1407,NOUGAT
1408,NS CACHEMIRE
1409,NUIT DE SATIN
1410,NUMERO 10
1411,NÜMPH
1412,NY
1413,O.X.S
1414,O'NED
1416,OBAIBI
1417,OBER ORIGINAL JEANS
1418,ODILE LANCON
1419,ODM
1420,OILILY
1421,OKAIDI
1422,OLIVER GRANT
1423,OMBELINE
1424,ON N'EST PAS DES ANGES
1425,ONE STEP
1426,ONE TEAS POON
1427,ONITSUKA
1428,ONLY
1429,OOH CONCEPT
1430,ORCANTA
1431,ORCHESTRA
1432,ORIGINAL TEE
1434,ORNA FARHO
1435,OROORO
1436,OSCARLETT
1437,OSMOSE
1438,Ossie Clark
1439,OUTRES MESURES
1440,OVYE BY CHRISTINA LUCCHI
1441,OXBOW
1442,Oysho
1443,P&Y DENIM
1444,PABLOSKY
1445,PACO HERRERO
1446,PAGE
1447,PAIN DE SUCRE
1448,PALLADIUM
1449,PAMELA DI ROMA
1450,PAN E TULIPANI
1451,PAOLA FRANI
1452,PAOLO SPEROTTO
1453,PAQUETAGE
1454,PARALLELE
1456,PARAMITA
1457,PARASUCO CULT
1460,PASTELLE
1461,PASTRY
1462,PATRIZIA DINI
1463,PAUL BRIAL
1464,PAUL MAUSNER
1465,PAUL-DAVID BENSON
1466,PAUL&SHARK
1467,PAULO BRANDAO CRÉATEUR
1468,PENNY BLACK
1469,PEPE JEANS
1470,Pequignet
1471,PERRYELLIS
1472,PETIT FAUNE
1473,PETIT PIRATE
1474,PETIT QUINZE
1475,PETITES CURIOSITÉS
1476,PETROVITCH & ROBINSON
1477,PHARD
1478,PHARD DIAMOND
1479,PHILDAR
1480,Philippe Ferrandis
1481,Philippe Model
1482,Philip Treacy
1483,PHILLIPE ZORZETTO
1484,PIANURA STUDIO
1485,PICUADRO
1486,PIED A TERRE
1487,PIERCE II FIONDA
1488,PIERRE LANG
1489,PIKOLINOS
1490,PILGRIM
1491,PIMKIE
1492,PITI BY CENDRILLON
1493,PLAGE PRIVÉE
1494,PLATINIUM
1495,POIVRE BLANC
1496,POLICE
1498,POMME FRAMBOISE
1499,PONS QUINTANA
1500,POPOVITCH
